source,sample_label,language,measure_type,method,citation_path,n_kids,log_r_mean,log_r_sd,tokens_per_hour_mean,tokens_per_hour_median,age_range_mo
Hart & Risley 1995,KC Middle Class,"English (US, KS)",CDS-mother,manual transcript (visit recording),NA,10,6.9666,0.8758,1060.5893,977.4826,NA
Hart & Risley 1995,KC Poor,"English (US, KS)",CDS-mother,manual transcript (visit recording),NA,6,6.3252,0.5216,558.4881,678.9924,NA
Hart & Risley 1995,KC Professional,"English (US, KS)",CDS-mother,manual transcript (visit recording),NA,13,7.6224,0.3465,2043.3662,2194.9181,NA
Hart & Risley 1995,KC Working Class,"English (US, KS)",CDS-mother,manual transcript (visit recording),NA,13,6.8613,0.6416,954.6366,862.0386,NA
POOLED (model's external prior on log r_i),all 42 adult_child_tokens_hr non-NA rows,"English (US, mixed sites)",CDS-any-adult,manual transcript (visit recording),data/sperry/hourly_tokens_Sperry_HartRisley.csv,42,7.3377,0.5339,1537.2201,1441.0135,NA
Soderstrom & Wittebolle 2013,Daycare,"English (CA, Manitoba)",all-adult,manual transcript (visit recording),NA,6,6.84,0.4719,934.4424,903.026,NA
Soderstrom & Wittebolle 2013,Home,"English (CA, Manitoba)",all-adult,manual transcript (visit recording),NA,6,6.9082,0.4492,1000.4615,1088.3962,NA
Sperry et al. 2019,Alabama,English (US),CDS-any-adult,manual transcript (visit recording),papers/input_estimation/sperry_etal_2019.pdf,11,7.7815,0.4548,2395.9748,2891.9896,NA
Sperry et al. 2019,Daly Park,English (US),CDS-any-adult,manual transcript (visit recording),papers/input_estimation/sperry_etal_2019.pdf,7,7.145,0.5708,1267.7151,1250.0015,NA
Sperry et al. 2019,Indiana,English (US),CDS-any-adult,manual transcript (visit recording),papers/input_estimation/sperry_etal_2019.pdf,15,7.147,0.4258,1270.2894,1185.9507,NA
Sperry et al. 2019,Longwood,English (US),CDS-any-adult,manual transcript (visit recording),papers/input_estimation/sperry_etal_2019.pdf,6,7.3513,0.5746,1558.169,1762.9872,NA
Sperry et al. 2019,South Baltimore,English (US),CDS-any-adult,manual transcript (visit recording),papers/input_estimation/sperry_etal_2019.pdf,3,7.0868,0.3938,1196.0344,1094.0044,NA
Sperry et al. 2019,Alabama,English (US),CDS-mother,manual transcript (visit recording),papers/input_estimation/sperry_etal_2019.pdf,11,7.4003,0.5214,1636.4604,1780.0558,NA
Sperry et al. 2019,Daly Park,English (US),CDS-mother,manual transcript (visit recording),papers/input_estimation/sperry_etal_2019.pdf,7,7.0124,0.7346,1110.3002,1170.0479,NA
Sperry et al. 2019,Indiana,English (US),CDS-mother,manual transcript (visit recording),papers/input_estimation/sperry_etal_2019.pdf,15,6.7628,0.6352,865.0437,844.0401,NA
Sperry et al. 2019,Longwood,English (US),CDS-mother,manual transcript (visit recording),papers/input_estimation/sperry_etal_2019.pdf,6,7.1015,0.7208,1213.7459,1380.0191,NA
Sperry et al. 2019,South Baltimore,English (US),CDS-mother,manual transcript (visit recording),papers/input_estimation/sperry_etal_2019.pdf,3,6.9014,0.4328,993.6318,829.9787,NA
Sperry et al. 2019,Alabama,English (US),all-adult,manual transcript (visit recording),papers/input_estimation/sperry_etal_2019.pdf,11,7.984,0.4695,2933.5622,3420.0143,NA
Sperry et al. 2019,Daly Park,English (US),all-adult,manual transcript (visit recording),papers/input_estimation/sperry_etal_2019.pdf,7,7.4675,0.3201,1750.2256,1678.0707,NA
Sperry et al. 2019,Indiana,English (US),all-adult,manual transcript (visit recording),papers/input_estimation/sperry_etal_2019.pdf,15,7.7351,0.425,2287.1917,2298.0127,NA
Sperry et al. 2019,Longwood,English (US),all-adult,manual transcript (visit recording),papers/input_estimation/sperry_etal_2019.pdf,6,7.7511,0.4167,2324.0888,2349.0801,NA
Sperry et al. 2019,South Baltimore,English (US),all-adult,manual transcript (visit recording),papers/input_estimation/sperry_etal_2019.pdf,3,7.3243,0.4448,1516.6613,1507.9404,NA
Weisleder & Fernald 2013,low-SES Spanish-speaking,"Spanish (US, low-SES)",CDS-mother,manual transcript (visit recording),papers/input_estimation/weisleder_fernald_2013.pdf,29,6.126,0.8448,457.6194,579.5199,NA
Weisleder & Fernald 2013,low-SES Spanish-speaking,"Spanish (US, low-SES)",all-adult,manual transcript (visit recording),papers/input_estimation/weisleder_fernald_2013.pdf,29,6.8443,0.5836,938.542,955.5623,NA
this paper (BabyView; Long et al. 2025),20 longitudinal English-dominant Stanford subjects,"English (US, CA)",all-adult,"FEM+MAL transcript (Whisper, score>=0.3)",data/babyview/README.md,20,7.1804,0.4664,1313.4598,1338.6694,5.7-36.6
this paper (SEEDLingS; Bergelson 2018; Egan-Dailey & Bergelson 2025),44 longitudinal Rochester subjects,"English (US, Rochester NY)",all-adult,LENA AWC (automated),papers/input_estimation/bergelson_etal_2018.pdf,44,7.0036,0.3613,1100.5431,1095.6,6-17
