"parameter","median","q025","q975","rhat","ess_bulk"
"sigma_alpha",1.6584,1.3589,2.0335,1.003,770
"sigma_zeta",6.4151,5.4214,7.5631,1.0033,1042
"sigma_rtslope",0.7637,0.4886,1.0601,0.9998,721
"pi_alpha",0.9061,0.8663,0.9355,1.003,770
"delta",2.5767,1.6548,3.4051,1.0014,1591
"s",0.5056,0.4044,0.6088,0.9997,3123
"gamma_rt",0.0808,0.0411,0.1205,1,1416
"mu_rtslope",-0.7248,-1.0818,-0.3742,1,1958
"sigma_lwl",0.2265,0.2039,0.2533,0.9998,1389
"rho_alpha_zeta",-0.134,-0.3514,0.106,1.0013,831
"rho_alpha_rtslope",-0.3218,-0.683,0.1606,0.9997,1421
"rho_zeta_rtslope",-0.0242,-0.3338,0.2728,0.9996,1057
